src,dst
656,23430
656,16520
656,585
656,109386
656,23436
656,269
656,18125
656,270
656,1486
656,5776
656,38545
656,9365
656,41621
656,87
656,34647
656,216
656,201051
656,192155
656,1757
656,7903
656,994
656,192225
656,1764
656,35493
656,180522
656,189546
656,1449
656,3882
656,1963
656,117040
656,30002
656,1010
656,47282
656,72818
656,35381
656,190583
656,1335
656,956
656,1854
656,9022
656,4115712
8848,6122
8848,921505
17042,117040
17042,25282
17042,23430
17042,6761
17042,464699
17042,170525
8851,2656
8851,3766
8851,62823
8851,82070
8851,180522
8851,139242
852638,40104
49812,36989
41621,46400
41621,48320
41621,1729
41621,1425428
41621,25410
41621,72259
41621,647051
41621,34820
41621,15174
41621,2119
41621,81033
41621,929667
41621,656
41621,1874
41621,165972
41621,93910
41621,5465
41621,12892
41621,100
41621,205679
41621,8686
41621,399976
41621,495
41621,24879
41621,30002
41621,49140
41621,43509
41621,1461
41621,1718
41621,52535
41621,1720
41621,23482
41621,300856
41621,28870916
41621,62
58006,616877
55099871,641
55099871,1780
55099871,81398
55099871,11736
55099871,40104
55099871,81581
8856,719954
8856,1062073
1000086,128139
271000,6221
680596,28603
983726,14892
983723,317145
678,37100
508591,387396
683,37100
533157,497793
696996,200122
713381,79880
713381,42109
713381,1822
713381,510840
1442470,203040
1442470,622030
690,152436
690,175323
690,174684
98995,81137
639674,688473
639674,25213
975549,914055
180918,25409
180918,189059
180918,25475
180918,192980
180918,87
180918,213898
180918,182299
180918,205832
852665,44016
852665,249994
484018,62868
484018,3958
484018,432397
25270,40738
25270,1842
25270,1844
25270,8660
25270,83285
25270,3640
25270,19689
25270,23564
25270,39709
25270,9022
778941,16868
778941,131429
115382,13320
221883,612
918195,13375
983729,510173
983729,572595
983729,26364
983729,162989
672458,107126
25280,152385
852684,30616
950991,27116
25282,11025
25282,17042
25282,14773
25282,182852
25282,193428
25282,1342
25282,20927
1188560,123766
574146,4108
189128,124739
189128,15699
189128,208151
189128,16868
189128,321331
189128,16552
189128,23768
189128,225515
189128,49273
189128,42622
715,174019
715,200709
715,4024
737984,654019
983747,5687
189134,1520
189134,3042
33486,3780
33486,41252
33486,527268
189133,612250
189133,1351153
189133,59144
189133,374511
189133,42108
189133,1773
719,147402
189138,49219
189138,430464
189138,386991
189138,3692
189138,16556
189138,494715
189138,18575
574170,1002944
484052,781249
205526,140631
205526,2305836
25302,605483
25302,496368
727,132679
727,158119
727,8678
727,211563
727,147402
727,3561
727,649
727,3274
727,6506
727,1899
727,18125
727,1773
727,3630
727,3856
727,84
727,1524
727,340
727,406
727,48344
727,2841
727,11194
727,2844
727,956
727,51103
82646,29303
230104,173474
230104,140147
230104,25475
230104,137271
230104,11725
221921,3810
41699,1867
189153,818019
25319,26793
25319,42956
189157,156704
189157,128130
189157,180379
189157,515358
189157,803990
189157,234184
189157,773312
189157,954114
189157,19583
189157,2277469
131818,44160
131818,10400
131818,1479
131818,189546
131818,193802
131818,6602
131818,8652
131818,10509
131818,46325
131818,11959
131818,374365
